127.0.0.1 - - [17/Aug/2018:10:56:29 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:56:32 +0800] "GET /o2o/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:56:33 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:20 +0800] "GET /o2o/shopadmin/shoplist HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:20 +0800] "GET /o2o/resources/css/shop/shoplist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:20 +0800] "GET /o2o/resources/js/shop/shopList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:22 +0800] "GET /o2o/shopadmin/getshoplist HTTP/1.1" 200 12929
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:24 +0800] "GET /o2o/shopadmin/shopmanagement?shopId=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:24 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:24 +0800] "GET /o2o/resources/css/shop/shopmanagement.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:24 +0800] "GET /o2o/resources/js/shop/shopmanagement.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:24 +0800] "GET /o2o/shopadmin/getshopmanagementinfo?shopId=1 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:27 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:27 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3546
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:27 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:27 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:39 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:39 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:10:58:39 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:02:03 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:02:03 +0800] "GET /o2o/resources/css/shop/productcategorymanagement.css HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:02:03 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3547
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:02:03 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:03:51 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:03:51 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:03:51 +0800] "GET /o2o/shopadmin/getproductcategorylist HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:05:20 +0800] "GET /o2o/shopadmin/productcategorymanagement HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2018:11:05:20 +0800] "GET /o2o/resources/js/shop/productcategorylist.js HTTP/1.1" 200 3554
